,Alter bei Riss,Geburt,Liga,Name,Position,Rissdatum,Rissdatum dezimal,Saison,Verein,Verletzungszeit,Webseite
0,20,1992-01-18,bundesliga,Lukas Rath,Innenverteidiger                            ,2013-01-04,2013.0109589041097,12,SV Mattersburg,159,https://www.transfermarkt.ch/lukas-rath/verletzungen/spieler/67442
1,25,1991-05-27,serie-a,Mário Rui,Linker Verteidiger                            ,2016-07-30,2016.5753424657535,16,AS Rom,119,https://www.transfermarkt.ch/mario-rui/verletzungen/spieler/87884
2,28,1982-11-13,championship,Johannes Ertl,Defensives Mittelfeld                            ,2011-03-15,2011.2054794520548,10,Sheffield United,230,https://www.transfermarkt.ch/johannes-ertl/verletzungen/spieler/16578
3,26,1986-08-09,laliga,José Manuel Casado,Linker Verteidiger                            ,2013-05-12,2013.3616438356164,12,Vitorino Antunes,220,https://www.transfermarkt.ch/jose-manuel-casado/verletzungen/spieler/58774
4,22,1994-05-22,*]]>*,Einar Galilea,Zentrales Mittelfeld                            ,2017-01-14,2017.0383561643835,16,Transfermarkt,212,https://www.transfermarkt.ch/einar-galilea/verletzungen/spieler/251046
5,29,1985-06-17,liga-nos,Filipe Mendes,Torwart                            ,2014-11-07,2014.841095890411,14,Belenenses SAD,271,https://www.transfermarkt.ch/filipe-mendes/verletzungen/spieler/25229
6,22,1995-10-03,proximus-league,Michiel Jaeken,Linker Verteidiger                            ,2017-11-20,2017.876712328767,17,KVC Westerlo,223,https://www.transfermarkt.ch/michiel-jaeken/verletzungen/spieler/348082
7,19,1995-03-03,regionalliga-ost,Thomas Gösweiner,Mittelstürmer                            ,2014-07-03,2014.5013698630137,14,FC Admira Wacker Mödling II,184,https://www.transfermarkt.ch/thomas-gosweiner/verletzungen/spieler/195215
8,22,1990-06-07,keuken-kampioen-divisie,Tom van Weert,Mittelstürmer                            ,2013-04-26,2013.317808219178,12,FC Den Bosch,346,https://www.transfermarkt.ch/tom-van-weert/verletzungen/spieler/95673
9,31,1986-08-11,regionalliga-west,Kevin Dold,Defensives Mittelfeld                            ,2017-10-21,2017.7972602739726,17,VfB Hohenems,351,https://www.transfermarkt.ch/kevin-dold/verletzungen/spieler/40194
10,26,1986-08-11,regionalliga-west,Kevin Dold,Defensives Mittelfeld                            ,2013-06-30,2013.4931506849316,13,FC Dornbirn,184,https://www.transfermarkt.ch/kevin-dold/verletzungen/spieler/40194
